zanr,pocet,zeme
Katastrofický,0,IN
Komedie,22,IN
Krimi,6,IN
Muzikál,14,IN
Mysteriózní,0,IN
Poetický,0,IN
Pohádka,0,IN
Psychologický,0,IN
Rodinný,9,IN
Romantický,40,IN
Sci-Fi,3,IN
Sportovní,4,IN
Thriller,5,IN
Váleèný,0,IN
Western,0,IN
Životopisný,4,IN
Akèní,125,IT
Animovaný,4,IT
Dobrodružný,162,IT
Dokumentární,15,IT
Drama,734,IT
Experimentální,0,IT
Fantasy,44,IT
Film-Noir,1,IT
Historický,51,IT
Horor,166,IT
Hudební,12,IT
Katastrofický,0,IT
Komedie,401,IT
Krimi,171,IT
Muzikál,9,IT
Mysteriózní,86,IT
Poetický,1,IT
Pohádka,0,IT
Psychologický,9,IT
Rodinný,8,IT
Romantický,158,IT
Sci-Fi,40,IT
Sportovní,4,IT
Thriller,181,IT
Váleèný,113,IT
Western,101,IT
Životopisný,41,IT
Akèní,222,JP
Animovaný,156,JP
Dobrodružný,121,JP
Dokumentární,10,JP
Drama,496,JP
Experimentální,1,JP
Fantasy,97,JP
Film-Noir,0,JP
Historický,25,JP
Horor,78,JP
Hudební,12,JP
Katastrofický,1,JP
Komedie,136,JP
Krimi,75,JP
Muzikál,4,JP
Mysteriózní,34,JP
Poetický,3,JP
Pohádka,2,JP
Psychologický,16,JP
Rodinný,22,JP
Romantický,83,JP
Sci-Fi,104,JP
Sportovní,7,JP
Thriller,73,JP
Váleèný,35,JP
Western,3,JP
Životopisný,10,JP
Akèní,22,MX
Animovaný,2,MX
Dobrodružný,19,MX
Dokumentární,5,MX
Drama,68,MX
Experimentální,0,MX
Fantasy,9,MX
Film-Noir,0,MX
Historický,5,MX
Horor,22,MX
Hudební,0,MX
Katastrofický,0,MX
Komedie,19,MX
Krimi,13,MX
Muzikál,0,MX
Mysteriózní,16,MX
Poetický,1,MX
Pohádka,0,MX
Psychologický,0,MX
Rodinný,0,MX
Romantický,12,MX
Sci-Fi,8,MX
Sportovní,1,MX
Thriller,17,MX
Váleèný,6,MX
Western,7,MX
Životopisný,1,MX
Akèní,13,PL
Animovaný,6,PL
Dobrodružný,11,PL
Dokumentární,2,PL
Drama,163,PL
Experimentální,0,PL
