rok,csfd,zanr
1969,28,DOBRO
1970,17,DOBRO
1971,20,DOBRO
1972,21,DOBRO
1973,16,DOBRO
1974,25,DOBRO
1975,25,DOBRO
1976,21,DOBRO
1977,29,DOBRO
1978,23,DOBRO
1979,31,DOBRO
1980,27,DOBRO
1981,29,DOBRO
1982,24,DOBRO
1983,37,DOBRO
1984,31,DOBRO
1985,44,DOBRO
1986,33,DOBRO
1987,25,DOBRO
1988,23,DOBRO
1989,30,DOBRO
1990,24,DOBRO
1991,23,DOBRO
1992,26,DOBRO
1993,25,DOBRO
1994,30,DOBRO
1995,26,DOBRO
1996,28,DOBRO
1997,22,DOBRO
1998,24,DOBRO
1999,23,DOBRO
2000,21,DOBRO
2001,18,DOBRO
2002,19,DOBRO
2003,30,DOBRO
2004,23,DOBRO
2005,21,DOBRO
2006,21,DOBRO
2007,13,DOBRO
2008,16,DOBRO
2009,21,DOBRO
2010,26,DOBRO
2011,23,DOBRO
2012,21,DOBRO
1911,0,DOKUM
1912,0,DOKUM
1913,0,DOKUM
1914,0,DOKUM
1915,0,DOKUM
1916,0,DOKUM
1917,0,DOKUM
1918,0,DOKUM
1919,0,DOKUM
1920,0,DOKUM
1921,0,DOKUM
1922,2,DOKUM
1923,0,DOKUM
1924,1,DOKUM
1925,0,DOKUM
1926,0,DOKUM
1927,3,DOKUM
1928,0,DOKUM
1929,1,DOKUM
1930,1,DOKUM
1931,1,DOKUM
1932,1,DOKUM
1933,2,DOKUM
1934,1,DOKUM
1935,1,DOKUM
1936,0,DOKUM
1937,0,DOKUM
1938,2,DOKUM
1939,1,DOKUM
1940,1,DOKUM
1941,0,DOKUM
1942,1,DOKUM
1943,1,DOKUM
1944,1,DOKUM
1945,4,DOKUM
1946,1,DOKUM
1947,0,DOKUM
1948,1,DOKUM
1949,1,DOKUM
1950,1,DOKUM
1951,0,DOKUM
1952,2,DOKUM
1953,4,DOKUM
1954,0,DOKUM
1955,0,DOKUM
1956,2,DOKUM
1957,2,DOKUM
1958,2,DOKUM
1959,0,DOKUM
1960,3,DOKUM
1961,1,DOKUM
1962,2,DOKUM
1963,3,DOKUM
1964,3,DOKUM
1965,2,DOKUM
1966,4,DOKUM
1967,6,DOKUM
1968,8,DOKUM
1969,1,DOKUM
1970,7,DOKUM
1971,3,DOKUM
1972,5,DOKUM
1973,6,DOKUM
1974,5,DOKUM
1975,2,DOKUM
1976,3,DOKUM
1977,5,DOKUM
1978,6,DOKUM
1979,4,DOKUM
1980,3,DOKUM
1981,3,DOKUM
1982,5,DOKUM
1983,4,DOKUM
1984,4,DOKUM
1985,6,DOKUM
1986,2,DOKUM
1987,3,DOKUM
1988,6,DOKUM
1989,4,DOKUM
1990,3,DOKUM
1991,7,DOKUM
1992,6,DOKUM
1993,10,DOKUM
1994,8,DOKUM
1995,6,DOKUM
1996,8,DOKUM
1997,11,DOKUM
1998,5,DOKUM
1999,13,DOKUM
2000,16,DOKUM
2001,22,DOKUM
2002,17,DOKUM
2003,35,DOKUM
2004,33,DOKUM
2005,39,DOKUM
2006,51,DOKUM
2007,41,DOKUM
2008,61,DOKUM
2009,62,DOKUM
2010,65,DOKUM
2011,73,DOKUM
2012,64,DOKUM
1911,1,DRAMA
1912,0,DRAMA
1913,3,DRAMA
1914,2,DRAMA
1915,2,DRAMA
1916,1,DRAMA
1917,0,DRAMA
1918,1,DRAMA
1919,3,DRAMA
1920,6,DRAMA
1921,12,DRAMA
1922,3,DRAMA
1923,6,DRAMA
1924,8,DRAMA
1925,12,DRAMA
1926,10,DRAMA
1927,15,DRAMA
1928,15,DRAMA
1929,15,DRAMA
1930,13,DRAMA
1931,19,DRAMA
1932,15,DRAMA
1933,25,DRAMA
1934,17,DRAMA
1935,19,DRAMA
1936,34,DRAMA
1937,39,DRAMA
1938,21,DRAMA
1939,39,DRAMA
1940,33,DRAMA
1941,28,DRAMA
1942,21,DRAMA
1943,29,DRAMA
1944,21,DRAMA
