rok,csfd,zanr
1915,1,KRIMI
1916,0,KRIMI
1917,0,KRIMI
1918,0,KRIMI
1919,0,KRIMI
1920,1,KRIMI
1921,0,KRIMI
1922,1,KRIMI
1923,0,KRIMI
1924,1,KRIMI
1925,1,KRIMI
1926,0,KRIMI
1927,2,KRIMI
1928,1,KRIMI
1929,3,KRIMI
1930,0,KRIMI
1931,4,KRIMI
1932,4,KRIMI
1933,3,KRIMI
1934,3,KRIMI
1935,0,KRIMI
1936,9,KRIMI
1937,5,KRIMI
1938,3,KRIMI
1939,7,KRIMI
1940,2,KRIMI
1941,5,KRIMI
1942,4,KRIMI
1943,5,KRIMI
1944,6,KRIMI
1945,3,KRIMI
1946,8,KRIMI
1947,12,KRIMI
1948,11,KRIMI
1949,7,KRIMI
1950,13,KRIMI
1951,4,KRIMI
1952,3,KRIMI
1953,7,KRIMI
1954,8,KRIMI
1955,10,KRIMI
1956,4,KRIMI
1957,7,KRIMI
1958,15,KRIMI
1959,17,KRIMI
1960,11,KRIMI
1961,9,KRIMI
1962,7,KRIMI
1963,19,KRIMI
1964,16,KRIMI
1965,16,KRIMI
1966,35,KRIMI
1967,26,KRIMI
1968,26,KRIMI
1969,21,KRIMI
1970,24,KRIMI
1971,37,KRIMI
1972,37,KRIMI
1973,53,KRIMI
1974,42,KRIMI
1975,34,KRIMI
1976,27,KRIMI
1977,26,KRIMI
1978,25,KRIMI
1979,26,KRIMI
1980,23,KRIMI
1981,29,KRIMI
1982,22,KRIMI
1983,26,KRIMI
1984,23,KRIMI
1985,36,KRIMI
1986,34,KRIMI
1987,34,KRIMI
1988,41,KRIMI
1989,38,KRIMI
1990,49,KRIMI
1991,44,KRIMI
1992,54,KRIMI
1993,45,KRIMI
1994,32,KRIMI
1995,45,KRIMI
1996,47,KRIMI
1997,53,KRIMI
1998,43,KRIMI
1999,41,KRIMI
2000,44,KRIMI
2001,38,KRIMI
2002,44,KRIMI
2003,42,KRIMI
2004,26,KRIMI
2005,40,KRIMI
2006,28,KRIMI
2007,40,KRIMI
2008,35,KRIMI
2009,28,KRIMI
2010,26,KRIMI
2011,25,KRIMI
2012,34,KRIMI
1911,0,MUZIK
1912,0,MUZIK
1913,0,MUZIK
1914,0,MUZIK
1915,0,MUZIK
1916,0,MUZIK
1917,0,MUZIK
1918,0,MUZIK
1919,0,MUZIK
1920,0,MUZIK
1921,0,MUZIK
1922,0,MUZIK
1923,0,MUZIK
1924,0,MUZIK
1925,0,MUZIK
1926,0,MUZIK
1927,1,MUZIK
1928,0,MUZIK
1929,3,MUZIK
1930,2,MUZIK
1931,5,MUZIK
1932,2,MUZIK
1933,7,MUZIK
1934,4,MUZIK
1935,3,MUZIK
1936,4,MUZIK
1937,2,MUZIK
1938,3,MUZIK
1939,3,MUZIK
1940,2,MUZIK
1941,4,MUZIK
1942,3,MUZIK
1943,0,MUZIK
1944,3,MUZIK
1945,1,MUZIK
1946,1,MUZIK
1947,0,MUZIK
1948,4,MUZIK
1949,4,MUZIK
1950,3,MUZIK
1951,3,MUZIK
1952,2,MUZIK
1953,9,MUZIK
1954,7,MUZIK
1955,7,MUZIK
1956,4,MUZIK
1957,6,MUZIK
1958,4,MUZIK
1959,2,MUZIK
1960,4,MUZIK
1961,3,MUZIK
1962,3,MUZIK
1963,2,MUZIK
1964,10,MUZIK
1965,4,MUZIK
1966,2,MUZIK
1967,9,MUZIK
1968,9,MUZIK
1969,6,MUZIK
1970,5,MUZIK
1971,3,MUZIK
1972,4,MUZIK
1973,6,MUZIK
1974,8,MUZIK
1975,5,MUZIK
1976,6,MUZIK
1977,3,MUZIK
1978,5,MUZIK
1979,6,MUZIK
1980,7,MUZIK
1981,1,MUZIK
1982,10,MUZIK
1983,4,MUZIK
1984,6,MUZIK
1985,3,MUZIK
1986,4,MUZIK
1987,5,MUZIK
1988,2,MUZIK
1989,5,MUZIK
1990,4,MUZIK
1991,3,MUZIK
1992,5,MUZIK
1993,3,MUZIK
1994,2,MUZIK
1995,3,MUZIK
1996,6,MUZIK
1997,5,MUZIK
1998,7,MUZIK
1999,2,MUZIK
2000,5,MUZIK
2001,9,MUZIK
2002,3,MUZIK
2003,2,MUZIK
2004,3,MUZIK
2005,5,MUZIK
2006,2,MUZIK
2007,4,MUZIK
2008,3,MUZIK
2009,2,MUZIK
2010,2,MUZIK
2011,2,MUZIK
2012,3,MUZIK
1911,0,MYSTE
1912,0,MYSTE
1913,0,MYSTE
1914,0,MYSTE
1915,1,MYSTE
1916,0,MYSTE
1917,0,MYSTE
1918,0,MYSTE
1919,0,MYSTE
1920,0,MYSTE
1921,2,MYSTE
1922,2,MYSTE
1923,0,MYSTE
1924,0,MYSTE
1925,1,MYSTE
1926,0,MYSTE
1927,1,MYSTE
1928,0,MYSTE
1929,0,MYSTE
1930,1,MYSTE
1931,0,MYSTE
1932,3,MYSTE
1933,2,MYSTE
1934,1,MYSTE
1935,2,MYSTE
1936,2,MYSTE
1937,1,MYSTE
1938,2,MYSTE
1939,4,MYSTE
1940,2,MYSTE
1941,4,MYSTE
1942,2,MYSTE
1943,3,MYSTE
1944,6,MYSTE
1945,9,MYSTE
1946,6,MYSTE
1947,2,MYSTE
1948,5,MYSTE
1949,1,MYSTE
1950,5,MYSTE
1951,0,MYSTE
1952,0,MYSTE
1953,3,MYSTE
1954,2,MYSTE
1955,5,MYSTE
1956,2,MYSTE
1957,3,MYSTE
1958,2,MYSTE
1959,4,MYSTE
1960,5,MYSTE
1961,5,MYSTE
1962,11,MYSTE
1963,11,MYSTE
1964,6,MYSTE
1965,10,MYSTE
1966,8,MYSTE
1967,2,MYSTE
1968,10,MYSTE
1969,10,MYSTE
1970,6,MYSTE
1971,16,MYSTE
1972,15,MYSTE
1973,16,MYSTE
1974,9,MYSTE
1975,16,MYSTE
1976,11,MYSTE
1977,13,MYSTE
1978,13,MYSTE
1979,7,MYSTE
1980,8,MYSTE
1981,14,MYSTE
1982,14,MYSTE
1983,12,MYSTE
1984,8,MYSTE
1985,14,MYSTE
1986,15,MYSTE
1987,14,MYSTE
1988,13,MYSTE
1989,6,MYSTE
1990,14,MYSTE
1991,13,MYSTE
1992,14,MYSTE
1993,18,MYSTE
1994,14,MYSTE
1995,18,MYSTE
1996,11,MYSTE
1997,24,MYSTE
1998,16,MYSTE
1999,20,MYSTE
2000,17,MYSTE
2001,21,MYSTE
2002,21,MYSTE
2003,19,MYSTE
2004,23,MYSTE
2005,23,MYSTE
2006,16,MYSTE
2007,15,MYSTE
2008,12,MYSTE
2009,22,MYSTE
2010,10,MYSTE
2011,12,MYSTE
2012,12,MYSTE
1911,0,POETA
1912,0,POETA
1913,0,POETA
1914,0,POETA
1915,0,POETA
1916,0,POETA
1917,0,POETA
1918,0,POETA
1919,0,POETA
1920,0,POETA
1921,1,POETA
1922,0,POETA
1923,0,POETA
1924,0,POETA
1925,0,POETA
1926,0,POETA
1927,0,POETA
1928,0,POETA
1929,1,POETA
1930,0,POETA
1931,0,POETA
1932,0,POETA
1933,2,POETA
1934,0,POETA
1935,1,POETA
1936,0,POETA
1937,0,POETA
1938,0,POETA
1939,2,POETA
1940,2,POETA
1941,0,POETA
1942,0,POETA
1943,0,POETA
1944,1,POETA
1945,1,POETA
1946,0,POETA
1947,0,POETA
1948,1,POETA
1949,1,POETA
1950,0,POETA
1951,0,POETA
1952,0,POETA
1953,1,POETA
1954,1,POETA
1955,0,POETA
1956,0,POETA
1957,0,POETA
1958,0,POETA
1959,0,POETA
1960,3,POETA
1961,0,POETA
1962,0,POETA
1963,1,POETA
1964,0,POETA
1965,0,POETA
1966,3,POETA
1967,2,POETA
1968,2,POETA
1969,0,POETA
1970,1,POETA
1971,0,POETA
1972,1,POETA
1973,2,POETA
1974,1,POETA
1975,1,POETA
1976,1,POETA
1977,2,POETA
1978,3,POETA
1979,1,POETA
1980,1,POETA
1981,3,POETA
1982,1,POETA
1983,1,POETA
1984,1,POETA
1985,0,POETA
1986,1,POETA
1987,2,POETA
1988,2,POETA
1989,2,POETA
1990,0,POETA
1991,0,POETA
1992,0,POETA
1993,1,POETA
1994,1,POETA
1995,1,POETA
1996,0,POETA
1997,4,POETA
1998,0,POETA
1999,0,POETA
2000,2,POETA
2001,0,POETA
2002,0,POETA
2003,2,POETA
2004,3,POETA
2005,1,POETA
2006,0,POETA
2007,3,POETA
2008,0,POETA
2009,0,POETA
2010,0,POETA
2011,1,POETA
2012,0,POETA
1911,0,POHAD
1912,0,POHAD
1913,0,POHAD
1914,0,POHAD
1915,0,POHAD
1916,0,POHAD
1917,0,POHAD
1918,0,POHAD
1919,0,POHAD
1920,0,POHAD
1921,0,POHAD
1922,0,POHAD
1923,0,POHAD
1924,0,POHAD
1925,1,POHAD
1926,0,POHAD
1927,0,POHAD
1928,0,POHAD
1929,0,POHAD
1930,0,POHAD
1931,0,POHAD
1932,0,POHAD
1933,0,POHAD
1934,0,POHAD
1935,0,POHAD
1936,0,POHAD
1937,1,POHAD
1938,1,POHAD
1939,1,POHAD
1940,1,POHAD
1941,0,POHAD
1942,0,POHAD
1943,0,POHAD
1944,1,POHAD
1945,0,POHAD
1946,2,POHAD
1947,0,POHAD
1948,1,POHAD
1949,0,POHAD
1950,1,POHAD
1951,0,POHAD
1952,4,POHAD
1953,1,POHAD
1954,2,POHAD
1955,2,POHAD
1956,3,POHAD
1957,0,POHAD
1958,0,POHAD
1959,4,POHAD
1960,0,POHAD
1961,2,POHAD
1962,1,POHAD
1963,2,POHAD
1964,3,POHAD
1965,0,POHAD
1966,2,POHAD
1967,1,POHAD
1968,1,POHAD
1969,2,POHAD
1970,1,POHAD
1971,2,POHAD
1972,1,POHAD
1973,2,POHAD
1974,1,POHAD
1975,1,POHAD
1976,2,POHAD
1977,4,POHAD
1978,5,POHAD
1979,0,POHAD
1980,2,POHAD
1981,3,POHAD
1982,8,POHAD
1983,3,POHAD
1984,5,POHAD
1985,4,POHAD
1986,2,POHAD
1987,5,POHAD
1988,2,POHAD
1989,0,POHAD
1990,1,POHAD
1991,1,POHAD
1992,1,POHAD
1993,2,POHAD
1994,1,POHAD
1995,1,POHAD
1996,1,POHAD
1997,0,POHAD
1998,0,POHAD
1999,0,POHAD
2000,0,POHAD
2001,1,POHAD
2002,1,POHAD
2003,1,POHAD
2004,0,POHAD
2005,1,POHAD
2006,1,POHAD
2007,0,POHAD
2008,0,POHAD
2009,0,POHAD
2010,0,POHAD
2011,1,POHAD
2012,0,POHAD
1911,0,PSYCH
1912,0,PSYCH
1913,0,PSYCH
1914,0,PSYCH
1915,0,PSYCH
1916,0,PSYCH
1917,0,PSYCH
1918,0,PSYCH
1919,0,PSYCH
1920,0,PSYCH
1921,0,PSYCH
1922,0,PSYCH
1923,0,PSYCH
1924,0,PSYCH
1925,0,PSYCH
1926,1,PSYCH
1927,0,PSYCH
1928,0,PSYCH
1929,1,PSYCH
1930,0,PSYCH
1931,0,PSYCH
1932,0,PSYCH
1933,2,PSYCH
1934,0,PSYCH
1935,1,PSYCH
1936,1,PSYCH
1937,1,PSYCH
1938,0,PSYCH
1939,2,PSYCH
1940,2,PSYCH
1941,3,PSYCH
1942,0,PSYCH
1943,2,PSYCH
1944,0,PSYCH
1945,0,PSYCH
1946,1,PSYCH
1947,2,PSYCH
1948,2,PSYCH
1949,0,PSYCH
1950,0,PSYCH
1951,0,PSYCH
1952,1,PSYCH
1953,2,PSYCH
1954,0,PSYCH
1955,3,PSYCH
1956,1,PSYCH
1957,4,PSYCH
1958,4,PSYCH
1959,8,PSYCH
1960,6,PSYCH
1961,6,PSYCH
1962,3,PSYCH
1963,7,PSYCH
1964,9,PSYCH
1965,7,PSYCH
1966,6,PSYCH
1967,9,PSYCH
1968,5,PSYCH
1969,9,PSYCH
1970,5,PSYCH
1971,5,PSYCH
1972,5,PSYCH
1973,7,PSYCH
1974,5,PSYCH
1975,7,PSYCH
1976,8,PSYCH
1977,10,PSYCH
1978,8,PSYCH
1979,6,PSYCH
1980,9,PSYCH
1981,6,PSYCH
1982,4,PSYCH
1983,4,PSYCH
1984,6,PSYCH
1985,2,PSYCH
1986,3,PSYCH
1987,3,PSYCH
1988,3,PSYCH
1989,1,PSYCH
1990,4,PSYCH
1991,1,PSYCH
1992,4,PSYCH
1993,3,PSYCH
1994,3,PSYCH
1995,5,PSYCH
1996,2,PSYCH
1997,7,PSYCH
1998,1,PSYCH
1999,3,PSYCH
2000,1,PSYCH
2001,3,PSYCH
2002,2,PSYCH
2003,4,PSYCH
2004,4,PSYCH
2005,3,PSYCH
2006,4,PSYCH
2007,4,PSYCH
2008,5,PSYCH
2009,11,PSYCH
2010,3,PSYCH
2011,6,PSYCH
2012,6,PSYCH
1911,0,RODIN
1912,0,RODIN
1913,0,RODIN
1914,0,RODIN
1915,0,RODIN
1916,0,RODIN
1917,0,RODIN
1918,0,RODIN
1919,0,RODIN
1920,0,RODIN
1921,1,RODIN
1922,2,RODIN
1923,2,RODIN
1924,2,RODIN
1925,3,RODIN
1926,0,RODIN
1927,1,RODIN
1928,3,RODIN
1929,0,RODIN
1930,0,RODIN
1931,0,RODIN
1932,1,RODIN
1933,1,RODIN
1934,1,RODIN
1935,1,RODIN
1936,0,RODIN
1937,3,RODIN
1938,1,RODIN
1939,4,RODIN
1940,4,RODIN
1941,2,RODIN
1942,2,RODIN
1943,1,RODIN
1944,3,RODIN
1945,1,RODIN
1946,2,RODIN
1947,2,RODIN
1948,3,RODIN
1949,2,RODIN
1950,5,RODIN
1951,1,RODIN
1952,4,RODIN
1953,2,RODIN
1954,1,RODIN
1955,5,RODIN
1956,4,RODIN
1957,6,RODIN
1958,5,RODIN
1959,8,RODIN
1960,8,RODIN
1961,10,RODIN
1962,10,RODIN
1963,10,RODIN
1964,7,RODIN
1965,8,RODIN
1966,10,RODIN
1967,12,RODIN
1968,13,RODIN
1969,10,RODIN
1970,9,RODIN
1971,9,RODIN
1972,13,RODIN
1973,9,RODIN
1974,14,RODIN
1975,8,RODIN
1976,11,RODIN
1977,18,RODIN
1978,13,RODIN
1979,15,RODIN
1980,13,RODIN
1981,13,RODIN
1982,17,RODIN
1983,15,RODIN
1984,19,RODIN
1985,21,RODIN
1986,22,RODIN
1987,23,RODIN
1988,15,RODIN
1989,19,RODIN
1990,14,RODIN
1991,15,RODIN
1992,16,RODIN
1993,15,RODIN
1994,26,RODIN
1995,26,RODIN
1996,16,RODIN
1997,8,RODIN
1998,19,RODIN
1999,14,RODIN
2000,14,RODIN
2001,8,RODIN
2002,19,RODIN
2003,10,RODIN
2004,10,RODIN
2005,13,RODIN
2006,8,RODIN
2007,11,RODIN
2008,9,RODIN
2009,14,RODIN
2010,12,RODIN
2011,14,RODIN
2012,11,RODIN
1911,0,ROMAN
1912,0,ROMAN
1913,0,ROMAN
1914,0,ROMAN
1915,1,ROMAN
1916,1,ROMAN
1917,0,ROMAN
1918,0,ROMAN
1919,2,ROMAN
1920,1,ROMAN
1921,2,ROMAN
1922,1,ROMAN
1923,1,ROMAN
1924,2,ROMAN
1925,3,ROMAN
1926,5,ROMAN
1927,6,ROMAN
1928,8,ROMAN
1929,4,ROMAN
1930,7,ROMAN
1931,6,ROMAN
1932,7,ROMAN
1933,14,ROMAN
1934,12,ROMAN
1935,16,ROMAN
1936,22,ROMAN
1937,14,ROMAN
1938,20,ROMAN
1939,29,ROMAN
1940,26,ROMAN
1941,22,ROMAN
1942,18,ROMAN
1943,11,ROMAN
1944,14,ROMAN
1945,12,ROMAN
1946,15,ROMAN
1947,13,ROMAN
1948,9,ROMAN
1949,12,ROMAN
1950,9,ROMAN
1951,12,ROMAN
1952,13,ROMAN
1953,17,ROMAN
1954,27,ROMAN
1955,20,ROMAN
1956,16,ROMAN
1957,15,ROMAN
1958,16,ROMAN
1959,21,ROMAN
1960,10,ROMAN
1961,24,ROMAN
1962,10,ROMAN
1963,15,ROMAN
1964,18,ROMAN
1965,9,ROMAN
1966,19,ROMAN
1967,20,ROMAN
1968,21,ROMAN
1969,18,ROMAN
1970,15,ROMAN
1971,14,ROMAN
1972,13,ROMAN
1973,10,ROMAN
1974,21,ROMAN
1975,7,ROMAN
1976,15,ROMAN
1977,20,ROMAN
1978,16,ROMAN
1979,23,ROMAN
1980,22,ROMAN
1981,20,ROMAN
1982,21,ROMAN
1983,24,ROMAN
1984,42,ROMAN
1985,27,ROMAN
1986,41,ROMAN
1987,37,ROMAN
1988,31,ROMAN
1989,26,ROMAN
1990,32,ROMAN
1991,49,ROMAN
1992,50,ROMAN
1993,48,ROMAN
1994,48,ROMAN
1995,54,ROMAN
1996,60,ROMAN
1997,57,ROMAN
1998,75,ROMAN
1999,70,ROMAN
2000,68,ROMAN
2001,58,ROMAN
2002,53,ROMAN
2003,64,ROMAN
2004,69,ROMAN
2005,51,ROMAN
2006,58,ROMAN
2007,57,ROMAN
2008,50,ROMAN
2009,41,ROMAN
2010,37,ROMAN
2011,36,ROMAN
2012,48,ROMAN
1911,0,SCIFI
1912,0,SCIFI
1913,0,SCIFI
1914,0,SCIFI
1915,0,SCIFI
1916,1,SCIFI
1917,0,SCIFI
1918,0,SCIFI
1919,0,SCIFI
1920,0,SCIFI
1921,0,SCIFI
1922,0,SCIFI
1923,0,SCIFI
1924,1,SCIFI
1925,1,SCIFI
1926,0,SCIFI
1927,1,SCIFI
1928,0,SCIFI
1929,1,SCIFI
1930,0,SCIFI
1931,1,SCIFI
1932,2,SCIFI
1933,1,SCIFI
1934,0,SCIFI
1935,1,SCIFI
1936,4,SCIFI
1937,1,SCIFI
1938,0,SCIFI
1939,1,SCIFI
1940,3,SCIFI
1941,0,SCIFI
1942,3,SCIFI
1943,1,SCIFI
1944,1,SCIFI
1945,0,SCIFI
1946,0,SCIFI
1947,0,SCIFI
1948,2,SCIFI
1949,0,SCIFI
1950,2,SCIFI
1951,4,SCIFI
1952,1,SCIFI
1953,6,SCIFI
1954,4,SCIFI
1955,8,SCIFI
1956,8,SCIFI
1957,10,SCIFI
1958,8,SCIFI
1959,10,SCIFI
1960,7,SCIFI
1961,9,SCIFI
1962,8,SCIFI
1963,5,SCIFI
1964,7,SCIFI
1965,12,SCIFI
1966,12,SCIFI
1967,12,SCIFI
1968,9,SCIFI
1969,11,SCIFI
1970,10,SCIFI
1971,10,SCIFI
1972,12,SCIFI
1973,18,SCIFI
1974,10,SCIFI
1975,12,SCIFI
1976,8,SCIFI
1977,16,SCIFI
1978,15,SCIFI
1979,21,SCIFI
1980,25,SCIFI
1981,21,SCIFI
1982,24,SCIFI
1983,23,SCIFI
1984,30,SCIFI
1985,30,SCIFI
1986,35,SCIFI
1987,25,SCIFI
1988,21,SCIFI
1989,25,SCIFI
1990,25,SCIFI
1991,20,SCIFI
1992,15,SCIFI
1993,13,SCIFI
1994,17,SCIFI
1995,17,SCIFI
1996,13,SCIFI
1997,18,SCIFI
1998,15,SCIFI
1999,11,SCIFI
2000,12,SCIFI
2001,15,SCIFI
2002,15,SCIFI
2003,12,SCIFI
2004,14,SCIFI
2005,9,SCIFI
2006,15,SCIFI
2007,11,SCIFI
2008,6,SCIFI
2009,16,SCIFI
2010,11,SCIFI
2011,14,SCIFI
2012,13,SCIFI
1911,0,SPORT
1912,0,SPORT
1913,0,SPORT
1914,0,SPORT
1915,0,SPORT
1916,0,SPORT
1917,0,SPORT
1918,0,SPORT
1919,0,SPORT
1920,0,SPORT
1921,0,SPORT
1922,0,SPORT
1923,0,SPORT
1924,0,SPORT
1925,1,SPORT
1926,0,SPORT
1927,0,SPORT
1928,0,SPORT
1929,0,SPORT
1930,0,SPORT
1931,1,SPORT
1932,0,SPORT
1933,0,SPORT
1934,0,SPORT
1935,0,SPORT
1936,1,SPORT
1937,0,SPORT
1938,3,SPORT
1939,0,SPORT
1940,0,SPORT
1941,0,SPORT
1942,0,SPORT
1943,0,SPORT
1944,1,SPORT
1945,0,SPORT
1946,0,SPORT
1947,0,SPORT
1948,0,SPORT
1949,3,SPORT
1950,1,SPORT
1951,0,SPORT
1952,1,SPORT
1953,0,SPORT
1954,0,SPORT
1955,0,SPORT
1956,4,SPORT
1957,1,SPORT
1958,0,SPORT
1959,0,SPORT
1960,2,SPORT
1961,1,SPORT
1962,3,SPORT
1963,2,SPORT
1964,0,SPORT
1965,3,SPORT
1966,2,SPORT
1967,0,SPORT
1968,2,SPORT
1969,2,SPORT
1970,0,SPORT
1971,3,SPORT
1972,1,SPORT
1973,3,SPORT
1974,1,SPORT
1975,2,SPORT
1976,2,SPORT
1977,2,SPORT
1978,8,SPORT
1979,5,SPORT
1980,3,SPORT
1981,3,SPORT
1982,2,SPORT
1983,5,SPORT
1984,4,SPORT
1985,5,SPORT
1986,10,SPORT
1987,3,SPORT
1988,5,SPORT
1989,4,SPORT
1990,5,SPORT
1991,6,SPORT
1992,11,SPORT
1993,5,SPORT
1994,11,SPORT
1995,2,SPORT
1996,9,SPORT
1997,5,SPORT
1998,3,SPORT
1999,6,SPORT
2000,7,SPORT
2001,9,SPORT
2002,3,SPORT
2003,6,SPORT
2004,11,SPORT
2005,15,SPORT
2006,14,SPORT
2007,11,SPORT
2008,13,SPORT
2009,13,SPORT
2010,8,SPORT
2011,13,SPORT
2012,11,SPORT
1911,0,THRIL
1912,0,THRIL
1913,0,THRIL
1914,0,THRIL
1915,1,THRIL
1916,0,THRIL
1917,0,THRIL
1918,0,THRIL
1919,0,THRIL
1920,1,THRIL
1921,0,THRIL
1922,1,THRIL
1923,0,THRIL
1924,2,THRIL
1925,0,THRIL
1926,0,THRIL
1927,2,THRIL
1928,1,THRIL
1929,1,THRIL
1930,1,THRIL
1931,1,THRIL
1932,3,THRIL
1933,4,THRIL
1934,1,THRIL
1935,1,THRIL
1936,3,THRIL
1937,1,THRIL
1938,1,THRIL
1939,4,THRIL
1940,4,THRIL
1941,3,THRIL
1942,7,THRIL
1943,6,THRIL
1944,7,THRIL
1945,5,THRIL
1946,9,THRIL
1947,4,THRIL
1948,9,THRIL
1949,4,THRIL
1950,3,THRIL
1951,2,THRIL
1952,3,THRIL
1953,6,THRIL
1954,6,THRIL
1955,11,THRIL
1956,7,THRIL
1957,4,THRIL
1958,8,THRIL
1959,7,THRIL
1960,8,THRIL
1961,7,THRIL
1962,10,THRIL
1963,13,THRIL
1964,15,THRIL
1965,18,THRIL
1966,16,THRIL
1967,17,THRIL
1968,20,THRIL
1969,19,THRIL
1970,22,THRIL
1971,36,THRIL
1972,35,THRIL
1973,39,THRIL
1974,36,THRIL
1975,30,THRIL
1976,33,THRIL
1977,37,THRIL
1978,38,THRIL
1979,22,THRIL
1980,38,THRIL
1981,43,THRIL
1982,27,THRIL
1983,32,THRIL
1984,33,THRIL
1985,33,THRIL
1986,49,THRIL
1987,47,THRIL
1988,51,THRIL
1989,42,THRIL
1990,60,THRIL
1991,47,THRIL
1992,64,THRIL
1993,57,THRIL
1994,61,THRIL
1995,63,THRIL
1996,52,THRIL
1997,67,THRIL
1998,59,THRIL
1999,52,THRIL
2000,52,THRIL
2001,42,THRIL
2002,51,THRIL
2003,49,THRIL
2004,40,THRIL
2005,48,THRIL
2006,42,THRIL
2007,44,THRIL
2008,45,THRIL
2009,39,THRIL
2010,46,THRIL
2011,44,THRIL
2012,56,THRIL
1911,0,VALEC
1912,1,VALEC
1913,0,VALEC
1914,1,VALEC
1915,1,VALEC
1916,0,VALEC
1917,0,VALEC
1918,0,VALEC
1919,0,VALEC
1920,0,VALEC
1921,1,VALEC
1922,0,VALEC
1923,0,VALEC
1924,0,VALEC
1925,2,VALEC
1926,1,VALEC
1927,2,VALEC
1928,1,VALEC
1929,2,VALEC
1930,5,VALEC
1931,2,VALEC
1932,1,VALEC
1933,0,VALEC
1934,2,VALEC
1935,2,VALEC
1936,3,VALEC
1937,4,VALEC
1938,2,VALEC
1939,6,VALEC
1940,3,VALEC
1941,3,VALEC
1942,6,VALEC
1943,17,VALEC
1944,9,VALEC
1945,11,VALEC
1946,9,VALEC
1947,3,VALEC
1948,7,VALEC
1949,11,VALEC
1950,5,VALEC
1951,9,VALEC
1952,4,VALEC
1953,8,VALEC
1954,5,VALEC
1955,14,VALEC
1956,17,VALEC
1957,20,VALEC
1958,19,VALEC
1959,24,VALEC
1960,15,VALEC
1961,11,VALEC
1962,18,VALEC
1963,11,VALEC
1964,25,VALEC
1965,26,VALEC
1966,19,VALEC
1967,20,VALEC
1968,24,VALEC
1969,27,VALEC
1970,20,VALEC
1971,20,VALEC
1972,14,VALEC
1973,15,VALEC
1974,18,VALEC
1975,18,VALEC
1976,13,VALEC
1977,18,VALEC
1978,10,VALEC
1979,16,VALEC
1980,11,VALEC
1981,16,VALEC
1982,8,VALEC
1983,16,VALEC
1984,13,VALEC
1985,15,VALEC
1986,11,VALEC
1987,14,VALEC
1988,11,VALEC
1989,16,VALEC
1990,12,VALEC
1991,7,VALEC
1992,5,VALEC
1993,8,VALEC
1994,8,VALEC
1995,13,VALEC
1996,11,VALEC
1997,9,VALEC
1998,7,VALEC
1999,12,VALEC
2000,17,VALEC
2001,16,VALEC
2002,19,VALEC
2003,12,VALEC
2004,16,VALEC
2005,11,VALEC
2006,14,VALEC
2007,16,VALEC
2008,22,VALEC
2009,8,VALEC
2010,10,VALEC
2011,7,VALEC
2012,7,VALEC
1911,0,WESTE
1912,0,WESTE
1913,0,WESTE
1914,0,WESTE
1915,0,WESTE
1916,0,WESTE
1917,0,WESTE
1918,0,WESTE
1919,1,WESTE
1920,1,WESTE
1921,0,WESTE
1922,0,WESTE
1923,0,WESTE
1924,1,WESTE
1925,1,WESTE
1926,0,WESTE
1927,0,WESTE
1928,1,WESTE
1929,0,WESTE
1930,1,WESTE
1931,0,WESTE
1932,0,WESTE
1933,0,WESTE
1934,0,WESTE
1935,0,WESTE
1936,1,WESTE
1937,1,WESTE
1938,0,WESTE
1939,6,WESTE
1940,7,WESTE
1941,3,WESTE
1942,2,WESTE
1943,3,WESTE
1944,1,WESTE
1945,2,WESTE
1946,3,WESTE
1947,5,WESTE
1948,7,WESTE
1949,3,WESTE
1950,5,WESTE
1951,3,WESTE
1952,6,WESTE
1953,5,WESTE
1954,9,WESTE
1955,11,WESTE
1956,13,WESTE
1957,10,WESTE
1958,13,WESTE
1959,13,WESTE
1960,7,WESTE
1961,5,WESTE
1962,6,WESTE
1963,4,WESTE
1964,14,WESTE
1965,18,WESTE
1966,28,WESTE
1967,20,WESTE
1968,27,WESTE
1969,27,WESTE
1970,23,WESTE
1971,24,WESTE
1972,25,WESTE
1973,12,WESTE
1974,9,WESTE
1975,14,WESTE
1976,13,WESTE
1977,6,WESTE
1978,7,WESTE
1979,6,WESTE
1980,4,WESTE
1981,4,WESTE
1982,5,WESTE
1983,4,WESTE
1984,0,WESTE
1985,5,WESTE
1986,1,WESTE
1987,3,WESTE
1988,4,WESTE
1989,1,WESTE
1990,3,WESTE
1991,4,WESTE
1992,4,WESTE
1993,5,WESTE
1994,6,WESTE
1995,4,WESTE
1996,1,WESTE
1997,0,WESTE
1998,1,WESTE
1999,2,WESTE
2000,3,WESTE
2001,2,WESTE
2002,1,WESTE
2003,2,WESTE
2004,1,WESTE
2005,3,WESTE
2006,0,WESTE
2007,2,WESTE
2008,1,WESTE
2009,0,WESTE
2010,2,WESTE
2011,1,WESTE
2012,2,WESTE
1911,0,ZIVOT
1912,0,ZIVOT
1913,0,ZIVOT
1914,0,ZIVOT
1915,0,ZIVOT
1916,0,ZIVOT
1917,0,ZIVOT
1918,0,ZIVOT
1919,0,ZIVOT
1920,0,ZIVOT
1921,0,ZIVOT
1922,0,ZIVOT
1923,0,ZIVOT
1924,0,ZIVOT
1925,0,ZIVOT
1926,0,ZIVOT
1927,1,ZIVOT
1928,1,ZIVOT
1929,0,ZIVOT
1930,1,ZIVOT
1931,2,ZIVOT
