reziser,jmeno,name,rok,zanr,zeme,autor,csfd,imdb,odkaz,link,rozdil
"Mijazaki, Hajao",Doruèovací sluba èarodìjky Kiki,Majo no takkyubin ,1989,Animovanı/Dobrodrunı/Drama/Fantasy,Japonsko,Hajao Mijazaki,8.5,7.8,www.csfd.cz/film/28675-dorucovaci-sluzba-carodejky-kiki/,www.imdb.com/title/tt0097814/,0.7
"Mijazaki, Hajao",Porco Rosso,Kurenai no buta ,1992,Animovanı/Dobrodrunı/Historickı/Komedie,Japonsko,Hajao Mijazaki,8.4,7.7,www.csfd.cz/film/42133-porco-rosso/,www.imdb.com/title/tt0104652/,0.7
"Mijazaki, Hajao",Princezna Mononoke,Mononoke hime ,1997,Animovanı/Dobrodrunı/Fantasy,Japonsko,Hajao Mijazaki,8.7,8.4,www.csfd.cz/film/22205-princezna-mononoke/,www.imdb.com/title/tt0119698/,0.299999999999999
"Mijazaki, Hajao",Cesta do fantazie,Sen to Chihiro no kamikakushi ,2001,Animovanı/Dobrodrunı/Fantasy/Pohádka,Japonsko,Hajao Mijazaki,8.7,8.6,www.csfd.cz/film/42136-cesta-do-fantazie/,www.imdb.com/title/tt0245429/,0.0999999999999996
"Mijazaki, Hajao",Zámek v oblacích,Howl no ugoku shiro ,2004,Animovanı/Dobrodrunı/Fantasy/Romantickı,Japonsko,Hajao Mijazaki,8.6,8.1,www.csfd.cz/film/91936-zamek-v-oblacich/,www.imdb.com/title/tt0347149/,0.5
"Mijazaki, Hajao",Ponyo z útesu nad moøem,Gake no ue no Ponyo ,2008,Animovanı/Dobrodrunı/Fantasy/Rodinnı,Japonsko,Hajao Mijazaki,7.8,7.7,www.csfd.cz/film/225873-ponyo-z-utesu-nad-morem/,www.imdb.com/title/tt0876563/,0.0999999999999996
"Smoljak, Ladislav",Kulovı blesk ,Kulovı blesk ,1978,Komedie,Èeskoslovensko,"Ladislav Smoljak, Zdenìk Podskalskı st.",8.5,7.2,www.csfd.cz/film/8542-kulovy-blesk/,www.imdb.com/title/tt0077821/,1.3
"Smoljak, Ladislav","Vrchní, prchni! ","Vrchní, prchni! ",1980,Komedie,Èeskoslovensko,Ladislav Smoljak,8.6,7.7,www.csfd.cz/film/8545-vrchni-prchni/,www.imdb.com/title/tt0081730/,0.899999999999999
"Smoljak, Ladislav","Jára Cimrman leící, spící ","Jára Cimrman leící, spící ",1983,Komedie/ivotopisnı,Èeskoslovensko,Ladislav Smoljak,8.7,7.2,www.csfd.cz/film/8541-jara-cimrman-lezici-spici/,www.imdb.com/title/tt0085748/,1.5
"Smoljak, Ladislav",Rozpuštìnı a vypuštìnı ,Rozpuštìnı a vypuštìnı ,1984,Komedie/Krimi,Èeskoslovensko,Ladislav Smoljak,8.4,7.1,www.csfd.cz/film/8544-rozpusteny-a-vypusteny/,www.imdb.com/title/tt0088021/,1.3
"Smoljak, Ladislav",Nejistá sezóna ,Nejistá sezóna ,1987,Komedie,Èeskoslovensko,Ladislav Smoljak,8.7,7,www.csfd.cz/film/8543-nejista-sezona/,www.imdb.com/title/tt0093607/,1.7
"Kubrick, Stanley",Strach a touha,Fear and Desire ,1953,Váleènı/Drama,USA,Stanley Kubrick,6.7,5.6,www.csfd.cz/film/5399-strach-a-touha/,www.imdb.com/title/tt0045758/,1.1
"Kubrick, Stanley",Vrahùv polibek,Killer's Kiss ,1955,Film-Noir/Krimi/Drama/Thriller,USA,Stanley Kubrick,7.1,6.7,www.csfd.cz/film/5402-vrahuv-polibek/,www.imdb.com/title/tt0048254/,0.399999999999999
"Kubrick, Stanley",Zabíjení,"Killing, The ",1956,Krimi/Drama/Thriller/Film-Noir,USA,Stanley Kubrick,8.5,8.1,www.csfd.cz/film/5403-zabijeni/,www.imdb.com/title/tt0049406/,0.4
"Kubrick, Stanley",Stezky slávy,Paths of Glory ,1957,Drama/Váleènı,USA,Stanley Kubrick,8.6,8.5,www.csfd.cz/film/5405-stezky-slavy/,www.imdb.com/title/tt0050825/,0.0999999999999996
"Kubrick, Stanley",Spartakus,Spartacus ,1960,Váleènı/Historickı/Drama/ivotopisnı,USA,"Stanley Kubrick, Anthony Mann",8.3,8,www.csfd.cz/film/5408-spartakus/,www.imdb.com/title/tt0054331/,0.300000000000001
"Kubrick, Stanley",Lolita,Lolita ,1962,Drama/Romantickı,"USA, Velká Británie",Stanley Kubrick,8,7.7,www.csfd.cz/film/5404-lolita/,www.imdb.com/title/tt0056193/,0.3
"Kubrick, Stanley",Dr. Divnoláska aneb Jak jsem se nauèil...,Dr. Strangelove or: How I Learned... ,1964,Komedie/Váleènı/Drama,Velká Británie,Stanley Kubrick,8.5,8.6,www.csfd.cz/film/5397-dr-divnolaska-aneb-jak-jsem-se-naucil-nedelat-si-starosti-a-mit-rad-bombu/,www.imdb.com/title/tt0057012/,-0.0999999999999996
"Kubrick, Stanley",2001: Vesmírná odysea,2001: A Space Odyssey ,1968,Sci-Fi/Dobrodrunı/Mysteriózní,"Velká Británie, USA",Stanley Kubrick,8,8.3,www.csfd.cz/film/5393-2001-vesmirna-odysea/,www.imdb.com/title/tt0062622/,-0.300000000000001
"Kubrick, Stanley",Mechanickı pomeranè,"Clockwork Orange, A ",1971,Krimi/Drama/Sci-Fi,"Velká Británie, USA",Stanley Kubrick,8.5,8.4,www.csfd.cz/film/5395-mechanicky-pomeranc/,www.imdb.com/title/tt0066921/,0.0999999999999996
"Kubrick, Stanley",Barry Lyndon,Barry Lyndon ,1975,Drama/Váleènı/Dobrodrunı/Historickı,Velká Británie,Stanley Kubrick,8.5,8.1,www.csfd.cz/film/5394-barry-lyndon/,www.imdb.com/title/tt0072684/,0.4
"Kubrick, Stanley",Osvícení,"Shining, The ",1980,Horor/Drama/Thriller,"Velká Británie, USA",Stanley Kubrick,8.9,8.5,www.csfd.cz/film/5407-osviceni/,www.imdb.com/title/tt0081505/,0.4
"Kubrick, Stanley",Olovìná vesta,Full Metal Jacket ,1987,Drama/Váleènı,"USA, Velká Británie",Stanley Kubrick,8.7,8.4,www.csfd.cz/film/5401-olovena-vesta/,www.imdb.com/title/tt0093058/,0.299999999999999
"Kubrick, Stanley",Eyes Wide Shut,Eyes Wide Shut ,1999,Thriller/Drama/Mysteriózní,"USA, Velká Británie",Stanley Kubrick,7.9,7.2,www.csfd.cz/film/5398-eyes-wide-shut/,www.imdb.com/title/tt0120663/,0.7
"Tarkovskij, Andrej",Ivanovo dìtství,Ivanovo detstvo ,1962,Drama/Váleènı,Sovìtskı svaz,Andrej Tarkovskij,8.1,8,www.csfd.cz/film/32346-ivanovo-detstvi/,www.imdb.com/title/tt0056111/,0.0999999999999996
"Tarkovskij, Andrej",Andrej Rublev,Andrey Rublyov ,1966,Drama/Váleènı/ivotopisnı/Psychologickı,Sovìtskı svaz,Andrej Tarkovskij,8.6,8.1,www.csfd.cz/film/32345-andrej-rublev/,www.imdb.com/title/tt0060107/,0.5
"Tarkovskij, Andrej",Solaris,Soljaris ,1972,Drama/Sci-Fi,Sovìtskı svaz,Andrej Tarkovskij,8.3,8,www.csfd.cz/film/32352-solaris/,www.imdb.com/title/tt0069293/,0.300000000000001
"Tarkovskij, Andrej",Zrcadlo,Zerkalo ,1975,Drama/ivotopisnı/Historickı,Sovìtskı svaz,Andrej Tarkovskij,8.3,7.9,www.csfd.cz/film/32356-zrcadlo/,www.imdb.com/title/tt0072443/,0.4
"Tarkovskij, Andrej",Stalker,Stalker ,1979,Mysteriózní/Sci-Fi/Drama/Poetickı,"Sovìtskı svaz, Západní Nìmecko",Andrej Tarkovskij,8.5,8.1,www.csfd.cz/film/32353-stalker/,www.imdb.com/title/tt0079944/,0.4
"Tarkovskij, Andrej",Nostalgie,Nostalghia ,1983,Drama/Psychologickı,"Itálie, Francie, Sovìtskı svaz",Andrej Tarkovskij,8.3,7.9,www.csfd.cz/film/32349-nostalgie/,www.imdb.com/title/tt0086022/,0.4
"Tarkovskij, Andrej",Obì,Offret - Sacrificatio ,1986,Drama,"Švédsko, Velká Británie, Francie",Andrej Tarkovskij,8.5,7.9,www.csfd.cz/film/32350-obet/,www.imdb.com/title/tt0091670/,0.6
"Zeman, Karel",Poklad Ptaèího ostrova ,Poklad Ptaèího ostrova ,1952,Animovanı/Pohádka,Èeskoslovensko,Karel Zeman,7.4,6.6,www.csfd.cz/film/10122-poklad-ptaciho-ostrova/,www.imdb.com/title/tt0045040/,0.800000000000001
"Zeman, Karel",Cesta do pravìku ,Cesta do pravìku ,1955,Dobrodrunı/Fantasy/Rodinnı/Sci-Fi,Èeskoslovensko,Karel Zeman,8.8,7.1,www.csfd.cz/film/10103-cesta-do-praveku/,www.imdb.com/title/tt0047930/,1.7
"Zeman, Karel",Vynález zkázy ,Vynález zkázy ,1958,Dobrodrunı/Fantasy/Sci-Fi/Rodinnı,Èeskoslovensko,Karel Zeman,8.7,7.3,www.csfd.cz/film/10125-vynalez-zkazy/,www.imdb.com/title/tt0052374/,1.4
"Zeman, Karel",Baron Prášil ,Baron Prášil ,1961,Animovanı/Sci-Fi/Fantasy/Dobrodrunı,Èeskoslovensko,Karel Zeman,8.5,7.2,www.csfd.cz/film/10099-baron-prasil/,www.imdb.com/title/tt0054665/,1.3
"Zeman, Karel",Bláznova kronika ,Bláznova kronika ,1964,Dobrodrunı/Komedie/Historickı/Fantasy,Èeskoslovensko,Karel Zeman,8,7,www.csfd.cz/film/10100-blaznova-kronika/,www.imdb.com/title/tt0057894/,1
"Zeman, Karel",Ukradená vzducholoï ,Ukradená vzducholoï ,1966,Rodinnı/Dobrodrunı/Fantasy/Historickı,Èeskoslovensko,Karel Zeman,8.4,6.8,www.csfd.cz/film/10123-ukradena-vzducholod/,www.imdb.com/title/tt0062412/,1.6
"Zeman, Karel",Na kometì ,Na kometì ,1970,Dobrodrunı/Sci-Fi/Fantasy,Èeskoslovensko,Karel Zeman,8.4,6.7,www.csfd.cz/film/10113-na-komete/,www.imdb.com/title/tt0066121/,1.7
"Zeman, Karel",Pohádky tisíce a jedné noci ,Pohádky tisíce a jedné noci ,1974,Animovanı/Pohádka,Èeskoslovensko,Karel Zeman,8.6,7.6,www.csfd.cz/film/10121-pohadky-tisice-a-jedne-noci/,www.imdb.com/title/tt0072004/,1
"Zeman, Karel",Èarodìjùv uèeò ,Èarodìjùv uèeò ,1977,Animovanı/Horor/Pohádka,"Èeskoslovensko, Západní Nìmecko",Karel Zeman,8.7,7.3,www.csfd.cz/film/10102-carodejuv-ucen/,www.imdb.com/title/tt0075811/,1.4
"Zeman, Karel",Pohádka o Honzíkovi a Maøence ,Pohádka o Honzíkovi a Maøence ,1980,Animovanı/Pohádka/Dobrodrunı/Fantasy,Èeskoslovensko,Karel Zeman,8.5,7.9,www.csfd.cz/film/10120-pohadka-o-honzikovi-a-marence/,www.imdb.com/title/tt0081350/,0.6
"Chaplin, Charles",Burlesque on Carmen ,Burlesque on Carmen ,1916,Komedie,USA,Charles Chaplin,6.3,6.1,www.csfd.cz/film/69649-burlesque-on-carmen/,www.imdb.com/title/tt0006497/,0.2
"Chaplin, Charles",Kid,"Kid, The ",1921,Komedie/Drama/Rodinnı,USA,Charles Chaplin,8.7,8.3,www.csfd.cz/film/1482-kid/,www.imdb.com/title/tt0012349/,0.399999999999999
"Chaplin, Charles",Dáma z Paøíe,"Woman of Paris, A ",1923,Drama,USA,Charles Chaplin,7.6,7,www.csfd.cz/film/1509-dama-z-parize/,www.imdb.com/title/tt0014624/,0.6
"Chaplin, Charles",Zlaté opojení,"Gold Rush, The ",1925,Komedie/Rodinnı,USA,Charles Chaplin,8.6,8.2,www.csfd.cz/film/1471-zlate-opojeni/,www.imdb.com/title/tt0015864/,0.4
"Chaplin, Charles",Cirkus,"Circus, The ",1928,Komedie/Rodinnı/Drama/Romantickı,USA,Charles Chaplin,8.7,8,www.csfd.cz/film/1460-cirkus/,www.imdb.com/title/tt0018773/,0.699999999999999
"Chaplin, Charles",Svìtla velkomìsta,City Lights ,1931,Komedie/Drama/Romantickı,USA,Charles Chaplin,8.6,8.6,www.csfd.cz/film/1461-svetla-velkomesta/,www.imdb.com/title/tt0021749/,0
"Chaplin, Charles",Moderní doba,Modern Times ,1936,Komedie/Drama/Romantickı,USA,Charles Chaplin,8.6,8.6,www.csfd.cz/film/1488-moderni-doba/,www.imdb.com/title/tt0027977/,0
"Chaplin, Charles",Charlie Chaplin Cavalcade ,Charlie Chaplin Cavalcade ,1938,Komedie,USA,Charles Chaplin,6.6,6.8,www.csfd.cz/film/1455-charlie-chaplin-cavalcade/,www.imdb.com/title/tt0284687/,-0.2
"Chaplin, Charles",Charlie Chaplin Festival ,Charlie Chaplin Festival ,1938,Komedie,USA,"Alice Guy, Charles Chaplin",7.8,7,www.csfd.cz/film/1456-charlie-chaplin-festival/,www.imdb.com/title/tt0284688/,0.8
"Chaplin, Charles",Diktátor,"Great Dictator, The ",1940,Komedie/Drama/Váleènı,USA,Charles Chaplin,8.6,8.5,www.csfd.cz/film/1472-diktator/,www.imdb.com/title/tt0032553/,0.0999999999999996
"Chaplin, Charles",Pan Verdoux,Monsieur Verdoux ,1947,Komedie/Drama,USA,Charles Chaplin,8.5,7.8,www.csfd.cz/film/1489-pan-verdoux/,www.imdb.com/title/tt0039631/,0.7
"Chaplin, Charles",Svìtla ramp,Limelight ,1952,Komedie/Drama,USA,Charles Chaplin,8.6,7.9,www.csfd.cz/film/1485-svetla-ramp/,www.imdb.com/title/tt0044837/,0.699999999999999
"Chaplin, Charles",Král v New Yorku,"King in New York, A ",1957,Komedie/Drama,Velká Británie,Charles Chaplin,7.8,7.1,www.csfd.cz/film/1483-kral-v-new-yorku/,www.imdb.com/title/tt0050598/,0.7
"Chaplin, Charles",Charlie Chaplin: Revue,"Chaplin Revue, The ",1959,Komedie,"Velká Británie, USA",Charles Chaplin,9.2,7.6,www.csfd.cz/film/1453-charlie-chaplin-revue/,www.imdb.com/title/tt0050243/,1.6
"Chaplin, Charles",Hrabìnka z Hongkongu,"Countess from Hong Kong, A ",1967,Komedie/Romantickı,"Velká Británie, USA",Charles Chaplin,6.9,5.9,www.csfd.cz/film/1462-hrabenka-z-hongkongu/,www.imdb.com/title/tt0061523/,1
"Kieslowski, Krzysztof",Jizva,Blizna ,1976,Drama,Polsko,Krzysztof Kieslowski,6.8,6.8,www.csfd.cz/film/40711-jizva/,www.imdb.com/title/tt0074220/,0
"Kieslowski, Krzysztof",Amatér,Amator ,1979,Drama,Polsko,Krzysztof Kieslowski,8.6,7.8,www.csfd.cz/film/31657-amater/,www.imdb.com/title/tt0078763/,0.8
"Kieslowski, Krzysztof",Náhoda,Przypadek ,1981,Drama,Polsko,Krzysztof Kieslowski,8.4,7.8,www.csfd.cz/film/40722-nahoda/,www.imdb.com/title/tt0084549/,0.600000000000001
"Kieslowski, Krzysztof",Bez konce,Bez konca ,1985,Drama,Polsko,Krzysztof Kieslowski,8,7.5,www.csfd.cz/film/41002-bez-konce/,www.imdb.com/title/tt0086961/,0.5
"Kieslowski, Krzysztof",Krátkı film o zabíjení,Krótki film o zabijaniu ,1987,Drama,Polsko,Krzysztof Kieslowski,8.5,8,www.csfd.cz/film/43219-kratky-film-o-zabijeni/,www.imdb.com/title/tt0095468/,0.5
"Kieslowski, Krzysztof",Krátkı film o lásce,Krótki film o milosci ,1988,Drama/Romantickı,Polsko,Krzysztof Kieslowski,8.6,8.1,www.csfd.cz/film/43218-kratky-film-o-lasce/,www.imdb.com/title/tt0095467/,0.5
"Kieslowski, Krzysztof",Dvojí ivot Veroniky,"Double vie de Véronique, La ",1991,Drama/Fantasy/Hudební/Romantickı,"Francie, Polsko, Norsko",Krzysztof Kieslowski,8.1,7.8,www.csfd.cz/film/31672-dvoji-zivot-veroniky/,www.imdb.com/title/tt0101765/,0.3
"Kieslowski, Krzysztof",Tøi barvy: Modrá,Trois couleurs: Bleu ,1993,Drama/Hudební/Psychologickı,"Francie, Polsko, Švıcarsko, Velká Británie",Krzysztof Kieslowski,8.4,7.9,www.csfd.cz/film/31651-tri-barvy-modra/,www.imdb.com/title/tt0108394/,0.5
"Kieslowski, Krzysztof",Tøi barvy: Bílá,Trzy kolory: Bialy ,1994,Komedie/Drama,"Francie, Polsko, Švıcarsko",Krzysztof Kieslowski,8.2,7.6,www.csfd.cz/film/31653-tri-barvy-bila/,www.imdb.com/title/tt0111507/,0.6
"Kieslowski, Krzysztof",Tøi barvy: Èervená,Trois couleurs: Rouge ,1994,Drama/Psychologickı,"Francie, Polsko, Švıcarsko",Krzysztof Kieslowski,8.5,8,www.csfd.cz/film/31652-tri-barvy-cervena/,www.imdb.com/title/tt0111495/,0.5
"Trnka, Jiøí",Špalíèek ,Špalíèek ,1947,Animovanı/Loutkovı,Èeskoslovensko,Jiøí Trnka,8.7,7.7,www.csfd.cz/film/33869-spalicek/,www.imdb.com/title/tt0227528/,0.999999999999999
"Trnka, Jiøí",Císaøùv slavík ,Císaøùv slavík ,1948,Animovanı/Loutkovı/Pohádka/Poetickı,Èeskoslovensko,"Jiøí Trnka, Miloš Makovec",8.7,6.9,www.csfd.cz/film/6332-cisaruv-slavik/,www.imdb.com/title/tt0043410/,1.8
"Trnka, Jiøí",Bajaja ,Bajaja ,1950,Animovanı/Loutkovı/Pohádka,Èeskoslovensko,Jiøí Trnka,7.4,7.5,www.csfd.cz/film/33863-bajaja/,www.imdb.com/title/tt0225145/,-0.0999999999999996
"Trnka, Jiøí",Staré povìsti èeské ,Staré povìsti èeské ,1952,Animovanı/Loutkovı/Historickı,Èeskoslovensko,Jiøí Trnka,8.5,7.6,www.csfd.cz/film/28460-stare-povesti-ceske/,www.imdb.com/title/tt0240034/,0.9
"Trnka, Jiøí",Dobrı voják Švejk ,Dobrı voják Švejk ,1954,Loutkovı/Komedie,Èeskoslovensko,"Jiøí Trnka, Bohuslav Šrámek",8.5,8.1,www.csfd.cz/film/43494-dobry-vojak-svejk/,www.imdb.com/title/tt0239348/,0.4
"Trnka, Jiøí",Sen noci svatojánské ,Sen noci svatojánské ,1959,Animovanı/Loutkovı/Komedie/Romantickı,Èeskoslovensko,Jiøí Trnka,8.6,7,www.csfd.cz/film/30934-sen-noci-svatojanske/,www.imdb.com/title/tt0053261/,1.6
"Leone, Sergio",Poslední dny Pompejí,"Ultimi giorni di Pompei, Gli ",1959,Akèní/Dobrodrunı/Drama/Romantickı,"Itálie, Španìlsko, Monako, Západní Nìmecko","Mario Bonnard, Sergio Leone",6.8,5.6,www.csfd.cz/film/43267-posledni-dny-pompeji/,www.imdb.com/title/tt0054422/,1.2
"Leone, Sergio",Rhodskı kolos,"Coloso de Rodas, El ",1961,Dobrodrunı/Drama/Historickı,"Španìlsko, Itálie, Francie",Sergio Leone,7.1,5.9,www.csfd.cz/film/5912-rhodsky-kolos/,www.imdb.com/title/tt0054756/,1.2
"Leone, Sergio",Pro hrst dolarù,Per un pugno di dollari ,1964,Western,"Itálie, Španìlsko, Západní Nìmecko",Sergio Leone,8.4,8,www.csfd.cz/film/5916-pro-hrst-dolaru/,www.imdb.com/title/tt0058461/,0.4
"Leone, Sergio",Pro pár dolarù navíc,Per qualche dollaro in piu ,1965,Western,"Itálie, Španìlsko, Západní Nìmecko",Sergio Leone,8.7,8.3,www.csfd.cz/film/5915-pro-par-dolaru-navic/,www.imdb.com/title/tt0059578/,0.399999999999999
"Leone, Sergio","Hodnı, zlı a ošklivı","Buono, il brutto, il cattivo, Il ",1966,Western/Dobrodrunı,"Itálie, Španìlsko, Západní Nìmecko",Sergio Leone,9,9,www.csfd.cz/film/5910-hodny-zly-a-osklivy/,www.imdb.com/title/tt0060196/,0
"Leone, Sergio",Tenkrát na Západì,C'era una volta il West ,1968,Western/Dobrodrunı,"Itálie, USA",Sergio Leone,9.1,8.7,www.csfd.cz/film/5911-tenkrat-na-zapade/,www.imdb.com/title/tt0064116/,0.4
"Leone, Sergio",Hlavu dolù,Giù la testa ,1971,Western,Itálie,Sergio Leone,8.1,7.6,www.csfd.cz/film/5913-hlavu-dolu/,www.imdb.com/title/tt0067140/,0.5
"Leone, Sergio",Mé jméno je Nikdo,"Mio nome e Nessuno, Il ",1973,Western/Komedie,"Itálie, Francie, Západní Nìmecko","Tonino Valerii, Sergio Leone",7.5,7.3,www.csfd.cz/film/24222-me-jmeno-je-nikdo/,www.imdb.com/title/tt0070215/,0.2
"Leone, Sergio",Chytrák a dva spoleèníci,"Genio, due compari, un pollo, Un ",1975,Western/Komedie,"Itálie, Francie, Západní Nìmecko","Damiano Damiani, Sergio Leone",6.4,6.1,www.csfd.cz/film/2243-chytrak-a-dva-spolecnici/,www.imdb.com/title/tt0073036/,0.300000000000001
"Leone, Sergio",Tenkrát v Americe,Once Upon a Time in America ,1984,Krimi/Drama/Thriller,"USA, Itálie",Sergio Leone,8.9,8.4,www.csfd.cz/film/5914-tenkrat-v-americe/,www.imdb.com/title/tt0087843/,0.5
"Jackson, Peter",Bad Taste - Vesmírní kanibalové,Bad Taste ,1987,Komedie/Akèní/Sci-Fi/Horor,Novı Zéland,Peter Jackson,7.7,6.7,www.csfd.cz/film/4707-bad-taste-vesmirni-kanibalove/,www.imdb.com/title/tt0092610/,1
"Jackson, Peter",Meet the Feebles ,Meet the Feebles ,1989,Komedie/Muzikál/Loutkovı,Novı Zéland,Peter Jackson,7.9,6.5,www.csfd.cz/film/4714-meet-the-feebles/,www.imdb.com/title/tt0097858/,1.4
"Jackson, Peter",Braindead - iví mrtví,Braindead ,1992,Komedie/Horor,Novı Zéland,Peter Jackson,8.4,7.5,www.csfd.cz/film/4708-braindead-zivi-mrtvi/,www.imdb.com/title/tt0103873/,0.9
"Jackson, Peter",Nebeská stvoøení,Himmlische Kreaturen ,1994,Drama/Romantickı/Krimi/Fantasy,"Novı Zéland, Nìmecko, Velká Británie",Peter Jackson,7.5,7.5,www.csfd.cz/film/4710-nebeska-stvoreni/,www.imdb.com/title/tt0110005/,0
"Jackson, Peter",Pøízraky,"Frighteners, The ",1996,Komedie/Horor,"Novı Zéland, USA",Peter Jackson,7,7.1,www.csfd.cz/film/4709-prizraky/,www.imdb.com/title/tt0116365/,-0.0999999999999996
"Jackson, Peter",Pán prstenù: Spoleèenstvo Prstenu,"LOTR: The Fellowship of the Ring, The ",2001,Fantasy/Dobrodrunı/Akèní,"USA, Novı Zéland",Peter Jackson,9,8.8,www.csfd.cz/film/4711-pan-prstenu-spolecenstvo-prstenu/,www.imdb.com/title/tt0120737/,0.199999999999999
"Jackson, Peter",Pán prstenù: Dvì vìe,"LOTR: The Two Towers, The ",2002,Fantasy/Dobrodrunı/Akèní,"USA, Novı Zéland, Nìmecko",Peter Jackson,8.8,8.7,www.csfd.cz/film/4713-pan-prstenu-dve-veze/,www.imdb.com/title/tt0167261/,0.100000000000001
"Jackson, Peter",Pán prstenù: Návrat krále,"LOTR: The Return of the King, The ",2003,Fantasy/Dobrodrunı/Akèní,"USA, Novı Zéland",Peter Jackson,9,8.9,www.csfd.cz/film/4712-pan-prstenu-navrat-krale/,www.imdb.com/title/tt0167260/,0.0999999999999996
"Jackson, Peter",King Kong,King Kong ,2005,Akèní/Dobrodrunı/Drama/Romantickı,"Novı Zéland, USA, Nìmecko",Peter Jackson,7.3,7.3,www.csfd.cz/film/116618-king-kong/,www.imdb.com/title/tt0360717/,0
"Jackson, Peter",Pevné pouto,"Lovely Bones, The ",2009,Drama/Fantasy/Thriller,"USA, Velká Británie, Novı Zéland",Peter Jackson,7.1,6.6,www.csfd.cz/film/230524-pevne-pouto/,www.imdb.com/title/tt0380510/,0.5
"Jackson, Peter",Hobit: Neoèekávaná cesta,"Hobbit: An Unexpected Journey, The ",2012,Dobrodrunı/Fantasy,"USA, Novı Zéland",Peter Jackson,8.3,8.1,www.csfd.cz/film/232938-hobit-neocekavana-cesta/,www.imdb.com/title/tt0903624/,0.200000000000001
"Kurosawa, Akira",Velká legenda Judo,Sugata Sanshiro ,1943,Dobrodrunı/Drama/Akèní,Japonsko,Akira Kurosawa,7.3,6.9,www.csfd.cz/film/5439-velka-legenda-judo/,www.imdb.com/title/tt0036400/,0.399999999999999
"Kurosawa, Akira",Nejkrásnìjší,Ichiban utsukushiku ,1944,Drama,Japonsko,Akira Kurosawa,7.5,5.8,www.csfd.cz/film/5425-nejkrasnejsi/,www.imdb.com/title/tt0036947/,1.7
"Kurosawa, Akira",Velká legenda Judo 2,Zoku Sugata Sanshiro ,1945,Akèní/Dobrodrunı,Japonsko,Akira Kurosawa,7.3,6.2,www.csfd.cz/film/5448-velka-legenda-judo-2/,www.imdb.com/title/tt0038268/,1.1
"Kurosawa, Akira",Nelitujeme svého mládí,Waga seishun ni kuinashi ,1946,Drama,Japonsko,Akira Kurosawa,8.3,7.3,www.csfd.cz/film/5443-nelitujeme-sveho-mladi/,www.imdb.com/title/tt0039090/,1
"Kurosawa, Akira","Ti, kteøí budují zítøek",Asu o tsukuru hitobito ,1946,Drama,Japonsko,"Kadiró Jamamoto, Akira Kurosawa",8.7,7.5,www.csfd.cz/film/5419-ti-kteri-buduji-zitrek/,www.imdb.com/title/tt0038310/,1.2
"Kurosawa, Akira",Krásná nedìle,Subarashiki nichiyobi ,1947,Drama/Romantickı,Japonsko,Akira Kurosawa,8.4,7.2,www.csfd.cz/film/5438-krasna-nedele/,www.imdb.com/title/tt0039871/,1.2
"Kurosawa, Akira",Opilı andìl,Yoidore tenshi ,1948,Drama,Japonsko,Akira Kurosawa,8.2,7.8,www.csfd.cz/film/5445-opily-andel/,www.imdb.com/title/tt0040979/,0.399999999999999
"Kurosawa, Akira",Mlèenlivı souboj,Shizukanaru ketto ,1949,Drama,Japonsko,Akira Kurosawa,8.4,7.4,www.csfd.cz/film/5436-mlcenlivy-souboj/,www.imdb.com/title/tt0041870/,1
"Kurosawa, Akira",Toulavı pes,Nora inu ,1949,Krimi/Drama/Thriller,Japonsko,Akira Kurosawa,7.6,7.8,www.csfd.cz/film/5432-toulavy-pes/,www.imdb.com/title/tt0041699/,-0.2
"Kurosawa, Akira",Rašomon,Rashomon ,1950,Krimi/Drama/Mysteriózní/Historickı,Japonsko,Akira Kurosawa,8.5,8.4,www.csfd.cz/film/5434-rasomon/,www.imdb.com/title/tt0042876/,0.0999999999999996
"Kurosawa, Akira",Skandál,Shubun ,1950,Drama,Japonsko,Akira Kurosawa,8.2,7.4,www.csfd.cz/film/5437-skandal/,www.imdb.com/title/tt0042958/,0.799999999999999
"Kurosawa, Akira",Idiot,Hakuchi ,1951,Drama,Japonsko,Akira Kurosawa,7.8,7.4,www.csfd.cz/film/5424-idiot/,www.imdb.com/title/tt0043614/,0.399999999999999
"Kurosawa, Akira",ít,Ikiru ,1952,Drama/Psychologickı,Japonsko,Akira Kurosawa,8.6,8.3,www.csfd.cz/film/5427-zit/,www.imdb.com/title/tt0044741/,0.299999999999999
"Kurosawa, Akira",Sedm samurajù,Shichinin no samurai ,1954,Drama/Dobrodrunı/Akèní,Japonsko,Akira Kurosawa,8.8,8.8,www.csfd.cz/film/5435-sedm-samuraju/,www.imdb.com/title/tt0047478/,0
"Kurosawa, Akira",iji ve strachu,Ikimono no kiroku ,1955,Drama,Japonsko,Akira Kurosawa,8.3,7.3,www.csfd.cz/film/5426-ziji-ve-strachu/,www.imdb.com/title/tt0048198/,1
"Kurosawa, Akira",Krvavı trùn,Kumonosu jo ,1957,Váleènı/Drama/Akèní/Thriller,Japonsko,Akira Kurosawa,8.3,8.1,www.csfd.cz/film/5430-krvavy-trun/,www.imdb.com/title/tt0050613/,0.200000000000001
"Kurosawa, Akira",Na dnì,Donzoko ,1957,Drama,Japonsko,Akira Kurosawa,7.9,7.5,www.csfd.cz/film/5422-na-dne/,www.imdb.com/title/tt0050330/,0.4
